Dialog No.,Gender,Education,a,b,R^2,RMSE,MAE,NRMSE
4858,3,3-2,0.389598,0.966155,0.805007,0.05653,0.048643,0.155003
3286,2,3-2,0.298492,0.96856,0.882905,0.025817,0.015246,0.100685
2610,3,3-2,0.297363,0.968749,0.884737,0.024934,0.018557,0.096669
4129,2,3-3,0.335083,0.969363,0.8469,0.03808,0.033445,0.131649
3333,1,2-2,0.301329,0.969439,0.911489,0.022414,0.019698,0.081685
4801,2,3-2,0.301328,0.97012,0.908508,0.022813,0.019161,0.085987
2957,1,3-2,0.338075,0.97023,0.798175,0.045703,0.037799,0.15943
3111,3,3-3,0.360492,0.970907,0.824358,0.047583,0.039266,0.151958
3021,3,2-2,0.361597,0.971204,0.908063,0.032669,0.030402,0.096545
3447,2,3-2,0.297174,0.971219,0.912178,0.021793,0.016011,0.084167
4174,3,2-2,0.359488,0.971715,0.828162,0.046671,0.039892,0.152112
3557,3,2-2,0.294702,0.972969,0.957549,0.014568,0.012496,0.054775
3077,1,3-2,0.313479,0.973392,0.843286,0.032883,0.027369,0.122216
3103,1,3-2,0.348479,0.976125,0.786179,0.050077,0.041967,0.167566
3198,1,3-2,0.361447,0.9764,0.817152,0.048795,0.041525,0.153778
3360,3,2-2,0.394511,0.976456,0.887578,0.041782,0.037147,0.116061
2766,2,2-2,0.320349,0.977995,0.857754,0.032736,0.025781,0.117499
4312,3,2-2,0.347749,0.978331,0.837816,0.042149,0.030039,0.142252
3402,3,3-2,0.332499,0.978436,0.877618,0.032759,0.024067,0.114657
3270,2,2-2,0.359199,0.97966,0.850299,0.042645,0.032305,0.137073
3121,2,3-1,0.325123,0.979902,0.825539,0.037781,0.032366,0.131122
2383,2,2-2,0.322733,0.979973,0.863212,0.032655,0.024769,0.119316
2477,3,2-2,0.310164,0.982439,0.863659,0.028943,0.024838,0.107013
4644,1,2-2,0.364967,0.982748,0.814635,0.049879,0.043312,0.159612
2160,2,3-3,0.294364,0.983905,0.948023,0.015745,0.014137,0.058159
3227,2,3-3,0.326652,0.984013,0.834211,0.037191,0.028882,0.133031
4856,2,2-2,0.343534,0.984711,0.836308,0.041142,0.033709,0.139883
4649,2,3-2,0.363937,0.986589,0.837298,0.045706,0.03937,0.143017
3279,2,2-2,0.315215,0.988377,0.889459,0.027122,0.0224,0.098545
3095,2,2-2,0.321565,0.988697,0.79658,0.039625,0.029843,0.148012
2897,2,3-2,0.347874,0.989156,0.836707,0.041872,0.035353,0.138063
3428,2,3-1,0.357952,0.98921,0.802403,0.049739,0.039649,0.167305
2749,2,3-2,0.333572,0.99016,0.887621,0.030881,0.02605,0.105398
2476,2,3-3,0.349195,0.990784,0.794698,0.048045,0.039867,0.16059
2038,3,3-3,0.333109,0.990954,0.860196,0.034542,0.030955,0.118643
3267,1,3-2,0.334901,0.991626,0.960177,0.017908,0.014157,0.058199
2262,1,3-1,0.326183,0.992886,0.807419,0.039501,0.030283,0.141956
3956,2,3-1,0.335615,0.993049,0.87522,0.033036,0.029299,0.112122
2638,3,2-2,0.323731,0.993452,0.844565,0.033868,0.029523,0.118537
2887,1,2-2,0.308541,0.994595,0.865586,0.027571,0.020208,0.104375
2836,3,3-3,0.316178,0.995537,0.827911,0.033421,0.025608,0.125328
4725,2,2-2,0.335797,0.996495,0.8116,0.04165,0.032868,0.146446
3208,1,2-2,0.424583,0.99751,0.818287,0.061632,0.049935,0.16846
2344,2,3-2,0.306604,0.997908,0.897237,0.023413,0.019469,0.086528
2767,1,3-3,0.28845,0.999683,0.912396,0.01816,0.014651,0.071059
2576,2,2-2,0.314578,1.000704,0.834681,0.032277,0.023219,0.123101
2684,1,3-2,0.326063,1.001632,0.894207,0.027635,0.023955,0.096065
4341,2,3-2,0.338579,1.001791,0.879072,0.03272,0.029969,0.110157
4080,3,3-2,0.317157,1.002918,0.9336,0.020502,0.018058,0.070575
2819,3,2-2,0.293254,1.003034,0.959787,0.013222,0.01087,0.04826
2945,2,3-2,0.321079,1.003468,0.894111,0.026649,0.021973,0.094073
2525,1,3-1,0.336034,1.004568,0.813742,0.040151,0.032433,0.140529
3694,1,2-2,0.308252,1.005649,0.937583,0.018532,0.014868,0.066473
4151,3,3-2,0.372629,1.005692,0.90027,0.03539,0.025502,0.108033
2303,2,3-3,0.323438,1.00585,0.905215,0.025601,0.021958,0.088619
2780,3,3-2,0.316128,1.005939,0.872208,0.027859,0.022641,0.100991
3223,2,2-2,0.349779,1.009704,0.922307,0.027355,0.024565,0.085896
2228,2,3-2,0.325268,1.00989,0.929635,0.022145,0.019471,0.075474
4765,3,3-2,0.359231,1.010631,0.905169,0.032135,0.030363,0.099418
4774,1,2-2,0.337294,1.010693,0.875414,0.03252,0.028065,0.108108
4004,3,2-2,0.294464,1.012154,0.971852,0.011318,0.006601,0.041828
3143,1,3-2,0.345181,1.01246,0.812841,0.042849,0.033497,0.147592
2421,2,2-2,0.35245,1.01262,0.767871,0.051376,0.041267,0.171575
3411,2,2-2,0.317604,1.013089,0.926401,0.021326,0.017853,0.073456
2234,1,3-2,0.343179,1.014098,0.895891,0.030484,0.027676,0.098928
3551,1,2-2,0.358856,1.014725,0.815164,0.04677,0.039083,0.150231
2436,2,3-2,0.320737,1.014887,0.891193,0.026146,0.021817,0.09151
2657,1,3-2,0.324961,1.015001,0.862784,0.030807,0.024106,0.109177
3521,3,3-2,0.323606,1.015037,0.906604,0.025254,0.017362,0.088731
3535,1,2-2,0.333587,1.015041,0.91271,0.02611,0.022199,0.088314
4608,2,3-1,0.337801,1.015223,0.871173,0.032727,0.027474,0.11188
2486,1,3-3,0.369338,1.015291,0.843308,0.044837,0.038693,0.13831
3029,2,2-2,0.34977,1.015385,0.800696,0.045385,0.039473,0.153173
2041,2,3-2,0.339915,1.015782,0.864648,0.033983,0.030065,0.112224
2064,2,3-2,0.326602,1.017008,0.936641,0.020969,0.018386,0.069108
3504,3,2-2,0.356672,1.017104,0.828264,0.043761,0.034429,0.143952
3039,1,3-2,0.310997,1.017323,0.952505,0.016128,0.012788,0.056564
2441,3,3-3,0.330217,1.017859,0.861834,0.031603,0.026626,0.108504
4316,3,3-2,0.334512,1.017868,0.917552,0.025373,0.021848,0.082796
3399,2,2-2,0.372732,1.018275,0.880129,0.039099,0.034533,0.116211
3099,1,3-2,0.320999,1.018565,0.908774,0.023981,0.02097,0.083548
3275,2,2-2,0.327513,1.018807,0.946469,0.019584,0.015597,0.061493
3105,1,2-2,0.34453,1.019612,0.885214,0.032287,0.029777,0.102731
2130,3,3-3,0.345564,1.020545,0.930065,0.024932,0.023909,0.077788
2820,2,3-2,0.331836,1.020601,0.851381,0.034043,0.02584,0.116312
2834,1,3-1,0.336199,1.021222,0.87696,0.031116,0.024775,0.104388
3515,2,2-2,0.311611,1.022018,0.90586,0.022741,0.017483,0.083145
3801,2,3-2,0.315574,1.022855,0.968986,0.013677,0.012038,0.044345
3743,1,3-2,0.35853,1.023475,0.854265,0.039863,0.033775,0.127562
2754,2,2-2,0.328889,1.023558,0.823151,0.035271,0.028214,0.124487
3728,1,3-2,0.337054,1.026726,0.858322,0.033759,0.028945,0.11426
4826,2,3-1,0.336878,1.026799,0.906733,0.026973,0.024789,0.089218
2353,2,3-3,0.366531,1.028064,0.888846,0.035964,0.027723,0.108865
3085,1,3-2,0.366914,1.028536,0.907326,0.032553,0.028607,0.097659
4060,2,3-2,0.347493,1.029208,0.892342,0.031377,0.025338,0.102955
3636,2,2-2,0.31575,1.030106,0.943863,0.018266,0.010667,0.063059
2448,3,2-2,0.338915,1.03087,0.934041,0.022772,0.020341,0.073419
3563,2,2-2,0.342726,1.031263,0.842782,0.037667,0.024835,0.128068
2870,1,3-2,0.303087,1.034249,0.947421,0.014939,0.012405,0.053253
2992,1,3-2,0.334367,1.035679,0.876561,0.029822,0.022923,0.101846
2759,2,3-2,0.33616,1.035721,0.904102,0.0268,0.023536,0.087101
2983,1,2-2,0.351279,1.036178,0.870804,0.034802,0.030616,0.110126
2012,3,3-3,0.365698,1.036656,0.847558,0.041904,0.038213,0.130683
4333,3,3-2,0.357402,1.040841,0.838891,0.041101,0.031755,0.13595
2519,1,3-2,0.358632,1.041061,0.871501,0.036204,0.030253,0.11418
2959,2,2-2,0.340498,1.041423,0.838379,0.035176,0.026347,0.121162
2622,3,3-2,0.340805,1.043624,0.887659,0.029328,0.024164,0.096515
2379,3,3-2,0.366911,1.044846,0.813869,0.046609,0.03888,0.146147
4572,3,3-3,0.335279,1.044883,0.975453,0.013357,0.01069,0.043106
2073,3,2-2,0.344254,1.046254,0.85365,0.034581,0.026301,0.116484
2121,3,3-2,0.322883,1.046305,0.87496,0.026585,0.018842,0.093642
2632,2,2-2,0.314994,1.046845,0.928973,0.01903,0.01382,0.066756
3291,3,3-2,0.40988,1.046877,0.834903,0.055176,0.044083,0.153703
3777,2,2-2,0.356347,1.047312,0.904958,0.030129,0.026829,0.094234
4812,3,3-3,0.321831,1.04784,0.986995,0.008848,0.007897,0.028457
2460,3,3-2,0.335474,1.048773,0.9057,0.025562,0.019692,0.085814
4733,1,2-2,0.329337,1.049284,0.932579,0.02073,0.015078,0.070198
3334,3,3-2,0.345948,1.050316,0.938185,0.022909,0.020236,0.069491
2109,2,3-3,0.347226,1.051021,0.926277,0.025092,0.02191,0.075725
4048,3,3-2,0.321118,1.051631,0.94569,0.017552,0.01256,0.059123
3313,1,3-2,0.344713,1.05253,0.94441,0.021064,0.019,0.067023
4384,1,2-2,0.351773,1.053015,0.938955,0.023136,0.020528,0.071511
2594,2,3-2,0.340579,1.053405,0.890016,0.027976,0.023173,0.092747
3076,2,3-2,0.344752,1.053661,0.869796,0.031774,0.025014,0.105914
4814,2,3-2,0.410972,1.055772,0.855101,0.051038,0.040205,0.139604
2482,2,2-2,0.327196,1.057072,0.91305,0.022249,0.01562,0.076433
4345,3,2-2,0.387423,1.057529,0.855341,0.045555,0.037497,0.136665
2024,2,2-2,0.345678,1.057997,0.881048,0.0311,0.023962,0.101704
3862,1,3-2,0.354101,1.058015,0.855758,0.037533,0.023845,0.122331
2504,1,3-1,0.358523,1.059443,0.898128,0.030954,0.02678,0.095172
2010,2,3-2,0.320746,1.059834,0.960212,0.014626,0.011421,0.049668
2858,1,2-2,0.346858,1.060496,0.92748,0.024083,0.019589,0.07526
4102,2,3-2,0.36595,1.062538,0.941026,0.024631,0.021118,0.073226
4362,3,3-2,0.412724,1.063719,0.849969,0.052258,0.039448,0.142521
2039,2,3-2,0.32537,1.063751,0.937484,0.01865,0.013962,0.063219
2347,1,2-2,0.367423,1.06431,0.803347,0.046314,0.036597,0.147422
3469,2,2-2,0.338913,1.066158,0.951484,0.018699,0.01495,0.057966
2876,1,2-2,0.346603,1.06728,0.943239,0.021019,0.017789,0.065941
2773,2,3-3,0.35407,1.067954,0.910795,0.027684,0.025492,0.084392
3028,1,2-2,0.307078,1.068772,0.976342,0.0102,0.006638,0.034147
2131,2,2-2,0.346709,1.069603,0.922715,0.024091,0.020727,0.076442
3688,3,3-2,0.31058,1.069899,0.974959,0.01092,0.006565,0.037127
4691,2,2-2,0.351243,1.070732,0.887974,0.030104,0.023966,0.095067
2991,2,2-2,0.323414,1.070951,0.904879,0.023123,0.015205,0.080634
2221,2,2-2,0.357153,1.07169,0.899493,0.029445,0.025929,0.091046
3230,1,2-2,0.375501,1.072106,0.842947,0.044097,0.030331,0.135819
2149,2,3-2,0.335262,1.073258,0.942842,0.019468,0.018399,0.059702
3097,1,3-2,0.366657,1.073309,0.897331,0.032378,0.026028,0.096018
3586,1,3-2,0.307003,1.075176,0.963507,0.012553,0.009916,0.041191
2888,2,2-2,0.359652,1.075231,0.883011,0.032323,0.026155,0.101586
4036,3,2-2,0.343461,1.075717,0.963795,0.016793,0.011349,0.049472
4630,2,2-2,0.381269,1.077493,0.899139,0.035359,0.024923,0.102788
2967,2,2-2,0.35397,1.077826,0.8938,0.029423,0.023777,0.092246
3284,3,3-3,0.396177,1.078182,0.930809,0.031129,0.025562,0.083659
2609,2,3-3,0.351863,1.078326,0.918484,0.025207,0.021831,0.079073
3476,3,3-3,0.359582,1.078368,0.854637,0.03655,0.026367,0.118786
4049,3,3-2,0.382531,1.078847,0.908796,0.033609,0.028764,0.095576
3925,2,3-2,0.351502,1.07939,0.920128,0.025246,0.019243,0.080516
3798,2,3-2,0.369543,1.080157,0.935666,0.025656,0.024657,0.074445
4082,3,2-2,0.333066,1.0802,0.938281,0.019479,0.013599,0.063594
4177,3,3-2,0.357029,1.080222,0.943622,0.022052,0.019543,0.067205
2413,2,3-2,0.327577,1.08108,0.966618,0.014564,0.010032,0.044696
3796,3,3-2,0.35141,1.081453,0.94582,0.02077,0.018444,0.064157
4917,2,2-2,0.365262,1.083561,0.915263,0.02837,0.025223,0.085645
4618,2,2-2,0.364811,1.083818,0.893665,0.032097,0.023432,0.100069
3830,2,2-2,0.344476,1.084761,0.947893,0.01917,0.015076,0.060578
2324,1,2-2,0.367295,1.085076,0.939942,0.024417,0.020104,0.070262
3506,1,2-2,0.299955,1.085262,0.951475,0.0146,0.010509,0.047783
3282,2,3-2,0.373641,1.086414,0.87213,0.037456,0.026315,0.114338
3420,1,2-2,0.354094,1.086454,0.944419,0.021236,0.01648,0.066136
2452,2,2-2,0.357577,1.086491,0.912085,0.027171,0.022194,0.082944
3828,3,2-2,0.402445,1.086507,0.802862,0.057683,0.040882,0.165605
